timestamp,event_type,message
2025-08-10 02:28:30,DETECTION,Frame 184 - 28 objek
2025-08-10 02:28:30,DETECTION,Frame 192 - 30 objek
2025-08-10 02:28:31,DETECTION,Frame 200 - 32 objek
2025-08-10 02:28:31,DETECTION,Frame 208 - 27 objek
2025-08-10 02:28:31,DETECTION,Frame 216 - 25 objek
2025-08-10 02:28:32,DETECTION,Frame 224 - 22 objek
2025-08-10 02:28:32,DETECTION,Frame 232 - 25 objek
2025-08-10 02:28:33,DETECTION,Frame 240 - 20 objek
2025-08-10 02:28:33,DETECTION,Frame 248 - 20 objek
2025-08-10 02:28:34,DETECTION,Frame 256 - 27 objek
2025-08-10 02:28:34,DETECTION,Frame 264 - 27 objek
2025-08-10 02:28:34,DETECTION,Frame 272 - 26 objek
2025-08-10 02:28:35,DETECTION,Frame 280 - 28 objek
2025-08-10 02:28:35,DETECTION,Frame 288 - 25 objek
2025-08-10 02:28:36,DETECTION,Frame 296 - 28 objek
2025-08-10 02:28:36,DETECTION,Frame 304 - 27 objek
2025-08-10 02:28:36,DETECTION,Frame 312 - 23 objek
2025-08-10 02:28:37,DETECTION,Frame 320 - 26 objek
2025-08-10 02:28:37,DETECTION,Frame 328 - 27 objek
2025-08-10 02:28:37,DETECTION,Frame 336 - 31 objek
2025-08-10 02:28:38,INFO,Upload video dihentikan
2025-08-10 02:53:31,INFO,Upload video dimulai: tmpzgbb4xev
2025-08-10 02:56:44,INFO,Upload video dimulai: tmpqe3__qo7
2025-08-10 03:01:41,INFO,Upload video dimulai: tmp_7wtnzpp
2025-08-10 03:01:42,DETECTION,Frame 8 - 15 objek
2025-08-10 03:01:43,DETECTION,Frame 16 - 15 objek
2025-08-10 03:01:43,DETECTION,Frame 24 - 14 objek
2025-08-10 03:01:43,DETECTION,Frame 32 - 16 objek
2025-08-10 03:01:44,DETECTION,Frame 40 - 15 objek
2025-08-10 03:01:44,DETECTION,Frame 48 - 14 objek
2025-08-10 03:01:45,DETECTION,Frame 56 - 16 objek
2025-08-10 03:01:45,DETECTION,Frame 64 - 16 objek
2025-08-10 03:01:45,DETECTION,Frame 72 - 13 objek
2025-08-10 03:01:46,DETECTION,Frame 80 - 14 objek
2025-08-10 03:01:46,DETECTION,Frame 88 - 13 objek
2025-08-10 03:01:47,DETECTION,Frame 96 - 14 objek
2025-08-10 03:01:47,DETECTION,Frame 104 - 13 objek
2025-08-10 03:01:47,DETECTION,Frame 112 - 11 objek
2025-08-10 03:01:48,DETECTION,Frame 120 - 11 objek
2025-08-10 03:01:48,DETECTION,Frame 128 - 9 objek
2025-08-10 03:01:49,DETECTION,Frame 136 - 11 objek
2025-08-10 03:01:49,DETECTION,Frame 144 - 9 objek
2025-08-10 03:01:49,DETECTION,Frame 152 - 10 objek
2025-08-10 03:01:50,DETECTION,Frame 160 - 14 objek
2025-08-10 03:01:50,DETECTION,Frame 168 - 13 objek
2025-08-10 03:01:51,DETECTION,Frame 176 - 12 objek
2025-08-10 03:01:51,DETECTION,Frame 184 - 11 objek
2025-08-10 03:01:51,DETECTION,Frame 192 - 14 objek
2025-08-10 03:01:52,DETECTION,Frame 200 - 14 objek
2025-08-10 03:01:52,DETECTION,Frame 208 - 13 objek
2025-08-10 03:01:53,DETECTION,Frame 216 - 12 objek
2025-08-10 03:01:53,DETECTION,Frame 224 - 11 objek
2025-08-10 03:01:53,DETECTION,Frame 232 - 12 objek
2025-08-10 03:01:54,DETECTION,Frame 240 - 11 objek
2025-08-10 03:01:54,DETECTION,Frame 248 - 19 objek
2025-08-10 03:01:55,DETECTION,Frame 256 - 17 objek
2025-08-10 03:01:55,DETECTION,Frame 264 - 15 objek
2025-08-10 03:01:55,DETECTION,Frame 272 - 15 objek
2025-08-10 03:01:56,DETECTION,Frame 280 - 18 objek
2025-08-10 03:01:56,DETECTION,Frame 288 - 16 objek
2025-08-10 03:01:57,DETECTION,Frame 296 - 15 objek
2025-08-10 03:01:57,DETECTION,Frame 304 - 16 objek
2025-08-10 03:01:57,DETECTION,Frame 312 - 17 objek
2025-08-10 03:01:58,DETECTION,Frame 320 - 17 objek
2025-08-10 03:01:58,DETECTION,Frame 328 - 17 objek
2025-08-10 03:01:59,DETECTION,Frame 336 - 16 objek
2025-08-10 03:01:59,DETECTION,Frame 344 - 14 objek
2025-08-10 03:02:00,DETECTION,Frame 352 - 12 objek
2025-08-10 03:02:00,DETECTION,Frame 360 - 13 objek
2025-08-10 03:02:00,DETECTION,Frame 368 - 11 objek
2025-08-10 03:02:01,DETECTION,Frame 376 - 13 objek
2025-08-10 03:02:01,DETECTION,Frame 384 - 18 objek
2025-08-10 03:02:02,DETECTION,Frame 392 - 12 objek
2025-08-10 03:02:02,DETECTION,Frame 400 - 14 objek
2025-08-10 03:02:03,DETECTION,Frame 408 - 14 objek
2025-08-10 03:02:03,DETECTION,Frame 416 - 17 objek
2025-08-10 03:02:03,DETECTION,Frame 424 - 16 objek
2025-08-10 03:02:04,DETECTION,Frame 432 - 14 objek
2025-08-10 03:02:04,DETECTION,Frame 440 - 12 objek
2025-08-10 03:02:05,DETECTION,Frame 448 - 15 objek
2025-08-10 03:02:05,DETECTION,Frame 456 - 17 objek
2025-08-10 03:02:06,DETECTION,Frame 464 - 18 objek
2025-08-10 03:02:06,DETECTION,Frame 472 - 21 objek
2025-08-10 03:02:06,DETECTION,Frame 480 - 25 objek
